学生编号：32620 绩点：1.61
志愿1: 93652
志愿2: 90541
志愿3: 51751
志愿4: 99810
志愿5: 80390

学生编号：59584 绩点：4.17
志愿1: 99810
志愿2: 46603
志愿3: 51751
志愿4: 69601
志愿5: 54293

学生编号：10791 绩点：3.99
志愿1: 99810
志愿2: 61111
志愿3: 20503
志愿4: 65806
志愿5: 54293

学生编号：69228 绩点：3.61
志愿1: 54293
志愿2: 52501
志愿3: 99810
志愿4: 93652
志愿5: 61211

学生编号：12455 绩点：2.9
志愿1: 54964
志愿2: 51751
志愿3: 28133
志愿4: 68464
志愿5: 69601

学生编号：03545 绩点：1.53
志愿1: 64984
志愿2: 06229
志愿3: 90541
志愿4: 68464
志愿5: 52787

学生编号：58921 绩点：1.84
志愿1: 52787
志愿2: 91157
志愿3: 54293
志愿4: 52501
志愿5: 08802

学生编号：25681 绩点：2.92
志愿1: 93652
志愿2: 20503
志愿3: 19390
志愿4: 52501
志愿5: 45532

学生编号：43352 绩点：4.95
志愿1: 90541
志愿2: 06229
志愿3: 65806
志愿4: 19390
志愿5: 28133

学生编号：59542 绩点：1.3
志愿1: 52501
志愿2: 08802
志愿3: 68464
志愿4: 06229
志愿5: 96183

学生编号：80962 绩点：1.18
志愿1: 90541
志愿2: 80390
志愿3: 68464
志愿4: 28133
志愿5: 61111

学生编号：00598 绩点：1.29
志愿1: 61111
志愿2: 08802
志愿3: 64984
志愿4: 80390
志愿5: 06229

学生编号：26804 绩点：1.89
志愿1: 45532
志愿2: 52787
志愿3: 08732
志愿4: 19390
志愿5: 64984

学生编号：11224 绩点：2.14
志愿1: 52787
志愿2: 51751
志愿3: 61111
志愿4: 46603
志愿5: 81691

学生编号：95598 绩点：3
志愿1: 65806
志愿2: 93652
志愿3: 20503
志愿4: 20812
志愿5: 51751

学生编号：12916 绩点：4.46
志愿1: 93652
志愿2: 64984
志愿3: 28133
志愿4: 08802
志愿5: 71254

学生编号：58791 绩点：2.7
志愿1: 61211
志愿2: 69601
志愿3: 93652
志愿4: 99810
志愿5: 06229

学生编号：30979 绩点：3.83
志愿1: 93652
志愿2: 54293
志愿3: 61211
志愿4: 25644
志愿5: 20503

学生编号：80488 绩点：4.63
志愿1: 20812
志愿2: 69601
志愿3: 90541
志愿4: 99810
志愿5: 06229

学生编号：79115 绩点：4.52
志愿1: 93652
志愿2: 08802
志愿3: 65806
志愿4: 54964
志愿5: 91157

学生编号：05087 绩点：2.84
志愿1: 80390
志愿2: 91157
志愿3: 20503
志愿4: 61111
志愿5: 54964

学生编号：35003 绩点：2.32
志愿1: 46603
志愿2: 52501
志愿3: 25644
志愿4: 91157
志愿5: 20812

学生编号：79849 绩点：1.94
志愿1: 52787
志愿2: 08732
志愿3: 61211
志愿4: 20503
志愿5: 06229

学生编号：08139 绩点：1.47
志愿1: 61111
志愿2: 28133
志愿3: 08802
志愿4: 19390
志愿5: 81691

学生编号：72620 绩点：1.89
志愿1: 93652
志愿2: 80390
志愿3: 51751
志愿4: 69601
志愿5: 64984

学生编号：61027 绩点：2.4
志愿1: 96183
志愿2: 99810
志愿3: 06229
志愿4: 52501
志愿5: 68464

学生编号：07302 绩点：1.33
志愿1: 52501
志愿2: 93652
志愿3: 71254
志愿4: 90541
志愿5: 91157

学生编号：99767 绩点：4.79
志愿1: 68464
志愿2: 57549
志愿3: 51751
志愿4: 64984
志愿5: 25644

学生编号：74743 绩点：2.94
志愿1: 51751
志愿2: 61211
志愿3: 69601
志愿4: 80390
志愿5: 54964

学生编号：95947 绩点：3.53
志愿1: 08802
志愿2: 20812
志愿3: 52501
志愿4: 25644
志愿5: 52787

学生编号：74432 绩点：3.93
志愿1: 80390
志愿2: 64984
志愿3: 91157
志愿4: 54964
志愿5: 65806

学生编号：15421 绩点：1.42
志愿1: 61211
志愿2: 46603
志愿3: 90541
志愿4: 69601
志愿5: 61111

学生编号：49267 绩点：2.52
志愿1: 52501
志愿2: 90541
志愿3: 06229
志愿4: 20503
志愿5: 61111

学生编号：69122 绩点：2.78
志愿1: 46603
志愿2: 61211
志愿3: 68464
志愿4: 57549
志愿5: 45532

学生编号：52768 绩点：1.83
志愿1: 08732
志愿2: 96183
志愿3: 91157
志愿4: 71254
志愿5: 20503

学生编号：47560 绩点：4.91
志愿1: 61211
志愿2: 25644
志愿3: 91157
志愿4: 19390
志愿5: 65806

学生编号：83481 绩点：1.26
志愿1: 68464
志愿2: 46603
志愿3: 57549
志愿4: 54293
志愿5: 08732

学生编号：17512 绩点：4.71
志愿1: 52787
志愿2: 28133
志愿3: 45532
志愿4: 81691
志愿5: 65806

学生编号：08938 绩点：2.89
志愿1: 20503
志愿2: 46603
志愿3: 93652
志愿4: 52787
志愿5: 51751

学生编号：26938 绩点：3.39
志愿1: 57549
志愿2: 65806
志愿3: 96183
志愿4: 54964
志愿5: 25644

学生编号：08812 绩点：1.01
志愿1: 25644
志愿2: 51751
志愿3: 90541
志愿4: 28133
志愿5: 64984

学生编号：25318 绩点：4.79
志愿1: 80390
志愿2: 61211
志愿3: 93652
志愿4: 91157
志愿5: 06229

学生编号：66884 绩点：3.24
志愿1: 90541
志愿2: 57549
志愿3: 25644
志愿4: 81691
志愿5: 80390

学生编号：78301 绩点：4.71
志愿1: 51751
志愿2: 99810
志愿3: 61111
志愿4: 52501
志愿5: 91157

学生编号：82160 绩点：1.72
志愿1: 61211
志愿2: 20503
志愿3: 08732
志愿4: 06229
志愿5: 80390

学生编号：52697 绩点：4.51
志愿1: 20503
志愿2: 91157
志愿3: 80390
志愿4: 45532
志愿5: 51751

学生编号：03967 绩点：4.32
志愿1: 52501
志愿2: 08802
志愿3: 99810
志愿4: 08732
志愿5: 19390

学生编号：44299 绩点：3.55
志愿1: 81691
志愿2: 52501
志愿3: 54964
志愿4: 68464
志愿5: 19390

学生编号：49699 绩点：1.82
志愿1: 64984
志愿2: 20503
志愿3: 93652
志愿4: 96183
志愿5: 57549

学生编号：72873 绩点：4.53
志愿1: 46603
志愿2: 65806
志愿3: 68464
志愿4: 80390
志愿5: 64984

学生编号：43332 绩点：1.31
志愿1: 96183
志愿2: 93652
志愿3: 52501
志愿4: 19390
志愿5: 64984

学生编号：14997 绩点：3.51
志愿1: 20503
志愿2: 61111
志愿3: 81691
志愿4: 64984
志愿5: 51751

学生编号：87447 绩点：3.78
志愿1: 08732
志愿2: 68464
志愿3: 54293
志愿4: 96183
志愿5: 25644

学生编号：83943 绩点：1.39
志愿1: 45532
志愿2: 25644
志愿3: 96183
志愿4: 54293
志愿5: 99810

学生编号：93484 绩点：4.51
志愿1: 61111
志愿2: 51751
志愿3: 52501
志愿4: 69601
志愿5: 46603

学生编号：76753 绩点：4.43
志愿1: 57549
志愿2: 68464
志愿3: 28133
志愿4: 06229
志愿5: 99810

学生编号：57039 绩点：3.03
志愿1: 65806
志愿2: 71254
志愿3: 08802
志愿4: 06229
志愿5: 68464

学生编号：97079 绩点：4.53
志愿1: 19390
志愿2: 06229
志愿3: 91157
志愿4: 51751
志愿5: 61111

学生编号：59762 绩点：1.5
志愿1: 08732
志愿2: 81691
志愿3: 99810
志愿4: 54964
志愿5: 08802

学生编号：14925 绩点：4.6
志愿1: 54293
志愿2: 81691
志愿3: 64984
志愿4: 80390
志愿5: 71254

学生编号：75166 绩点：1.76
志愿1: 81691
志愿2: 96183
志愿3: 90541
志愿4: 06229
志愿5: 80390

学生编号：30872 绩点：1.16
志愿1: 57549
志愿2: 52787
志愿3: 28133
志愿4: 08732
志愿5: 96183

学生编号：94537 绩点：3.53
志愿1: 54964
志愿2: 65806
志愿3: 28133
志愿4: 61211
志愿5: 81691

学生编号：16770 绩点：4.62
志愿1: 57549
志愿2: 65806
志愿3: 52787
志愿4: 61211
志愿5: 96183

学生编号：08315 绩点：3.52
志愿1: 20503
志愿2: 54293
志愿3: 65806
志愿4: 52501
志愿5: 61211

学生编号：23271 绩点：4.47
志愿1: 64984
志愿2: 28133
志愿3: 25644
志愿4: 45532
志愿5: 93652

学生编号：59977 绩点：2.07
志愿1: 28133
志愿2: 57549
志愿3: 25644
志愿4: 69601
志愿5: 61211

学生编号：76392 绩点：1.95
志愿1: 28133
志愿2: 54293
志愿3: 91157
志愿4: 96183
志愿5: 71254

学生编号：32302 绩点：3.58
志愿1: 91157
志愿2: 54964
志愿3: 93652
志愿4: 64984
